Buying,Maint,Doors,Persons,Lug_boot,Safety,Class
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,2,med,low,unacc
vhigh,med,2,4,big,med,acc
vhigh,vhigh,2,2,med,med,unacc
vhigh,med,2,4,big,high,acc
vhigh,vhigh,2,2,med,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,med,2,more,big,med,acc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,med,4,4,big,high,acc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,4,small,high,unacc
vhigh,med,3,more,big,med,acc
vhigh,med,4,more,med,high,acc
vhigh,vhigh,2,4,med,low,unacc
vhigh,med,3,4,big,med,acc
vhigh,vhigh,2,4,med,med,unacc
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,big,med,unacc
vhigh,vhigh,2,4,big,high,unacc
vhigh,med,2,more,big,high,acc
vhigh,vhigh,2,4,big,low,unacc
vhigh,med,3,4,big,high,acc
vhigh,med,3,more,big,high,acc
vhigh,med,4,4,big,med,acc
vhigh,vhigh,2,4,small,low,unacc
vhigh,med,4,more,med,med,acc
